date,precipitation_mm
2026-01-01,0.0
2026-01-02,3.4
2026-01-03,2.4
2026-01-04,0.0
2026-01-05,0.0
2026-01-06,0.0
2026-01-07,2.0
2026-01-08,13.6
2026-01-09,18.7
2026-01-10,21.6
2026-01-11,3.0
2026-01-12,0.1
2026-01-13,0.0
2026-01-14,0.0
2026-01-15,2.0
2026-01-16,1.0
2026-01-17,3.0
2026-01-18,0.0
2026-01-19,0.0
2026-01-20,0.0
2026-01-21,0.0
2026-01-22,4.0
2026-01-23,10.2
2026-01-24,0.1
2026-01-25,2.2
2026-01-26,5.3
2026-01-27,17.9
2026-01-28,31.5
2026-01-29,9.7
2026-01-30,7.1
2026-01-31,0.1
2026-02-01,0.2
2026-02-02,1.3
2026-02-03,15.5
2026-02-04,0.0
2026-02-05,4.9
2026-02-06,7.6
2026-02-07,0.1
2026-02-08,0.1
2026-02-09,0.0
2026-02-10,16.4
2026-02-11,31.2
2026-02-12,41.9
2026-02-13,2.5
2026-02-14,5.4
2026-02-15,10.4
2026-02-16,27.1
2026-02-17,14.0
2026-02-18,4.5
2026-02-19,28.0
2026-02-20,15.8
2026-02-21,5.0
2026-02-22,0.0
2026-02-23,1.8
2026-02-24,0.0
2026-02-25,0.0
2026-02-26,0.0
2026-02-27,0.0
2026-02-28,1.7
2026-03-01,0.0
2026-03-02,0.0
2026-03-03,0.0
2026-03-04,0.0
2026-03-05,0.0
2026-03-06,0.0
2026-03-07,0.3
2026-03-08,0.3
2026-03-09,0.6
2026-03-10,7.5
2026-03-11,18.5
2026-03-12,1.8
